college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
2116,"Matoshri Pratishans Group of Institutions (Integrated Campus), Kupsarwadi , Nanded (Un-Aided)",,211626310,,Stage-I,GOPEN GSC GOBC LOPEN LNTC LOBC,34221,,1,2024
2127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded. (Un-Aided)",,212761210,,Stage-I,GOPEN GOBC LOPEN LNTA,40665,,1,2024
2129,"M.S. Bidve Engineering College, Latur (Un-Aided)",,212929810,,Stage-I,GOPEN GSC GNTB GNTD GOBC GSEBC LOPEN LSC LNTA LNTC LOBC LSEBC PWD-O EWS,42998,,1,2024
2129,"M.S. Bidve Engineering College, Latur (Un-Aided)",,212961210,,Stage-I,GOPEN LOPEN EWS,44800,,1,2024
2130,"Terna Public Charitable Trusts College of Engineering, Dharashiv (Un-Aided)",,213037210,,Stage-I,GOPEN LOPEN LNTC EWS,39742,,1,2024
2134,"Peoples Education Societys College of Engineering, Chhatrapati Sambhajinagar (Un-Aided)",,213429310,,Stage-I,GOPEN GSC GST GNTB GOBC GSEBC LOPEN LSC LNTC LOBC EWS,28804,,1,2024
2136,"Aditya Engineering College , Beed (Un-Aided)",,213619110,,Stage-I,GOPEN GSC GST GNTA GNTB GNTC GNTD GOBC GSEBC LOPEN LSC LOBC PWD-O EWS,35278,,1,2024
2136,"Aditya Engineering College , Beed (Un-Aided)",,213624210,,Stage-I,GOPEN GSC GOBC GSEBC LOPEN LNTA LNTC EWS,29341,,1,2024
2136,"Aditya Engineering College , Beed (Un-Aided)",,213629310,,Stage-I,GOPEN GSC GST GNTB GNTD GOBC GSEBC LOPEN LSC LNTA LNTC LOBC LSEBC EWS,33694,,1,2024
2136,"Aditya Engineering College , Beed (Un-Aided)",,213637210,,Stage-I,GOPEN GSC GNTA GOBC GSEBC LOPEN LSC LNTD LOBC EWS,48418,,1,2024
2136,"Aditya Engineering College , Beed (Un-Aided)",,213692110,,Stage-I,GOPEN LOPEN EWS,46050,,1,2024
2137,"Nagnathappa Halge Engineering College, Parli, Beed (Un-Aided)",,213719110,,Stage-I,GOPEN GSC GNTA GNTD GOBC LOPEN EWS,39485,,1,2024
2138,"Matsyodari Shikshan Sansathas College of Engineering and Technology, Jalna (Un-Aided)",,213829310,,Stage-I,GOPEN GSC GOBC LOPEN LNTA LNTC LOBC LSEBC EWS,41553,,1,2024
2138,"Matsyodari Shikshan Sansathas College of Engineering and Technology, Jalna (Un-Aided)",,213861210,,Stage-I,GOPEN GSC GNTA LOPEN EWS,32088,,1,2024
2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad (Un-Aided)",,225019110,,Stage-I,GOPEN GSC GST GOBC GSEBC LOPEN LSC LNTA LNTC LNTD EWS,28819,,1,2024
2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad (Un-Aided)",,225029310,,Stage-I,GOPEN GSC GST GNTA GNTB GNTC GNTD GOBC GSEBC LOPEN LSC LOBC LSEBC PWD-O EWS,28214,,1,2024
2252,"Marathwada Shikshan Prasarak Mandals Shri Shivaji Institute of Engineering and Management Studies, Parbhani (Un-Aided)",,225219110,,Stage-I,GOPEN GOBC LOPEN EWS,43266,,1,2024
2252,"Marathwada Shikshan Prasarak Mandals Shri Shivaji Institute of Engineering and Management Studies, Parbhani (Un-Aided)",,225229710,,Stage-I,GOPEN GSC LST LOBC,39495,,1,2024
2252,"Marathwada Shikshan Prasarak Mandals Shri Shivaji Institute of Engineering and Management Studies, Parbhani (Un-Aided)",,225261210,,Stage-I,GOPEN GSC GNTA GNTB LOPEN EWS,40498,,1,2024
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur (Un-Aided)",,225424510,,Stage-I,GOPEN GSC GOBC LOPEN LSC LNTA LNTC LOBC LSEBC EWS,30490,,1,2024
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur (Un-Aided)",,225429310,,Stage-I,GOPEN GSC GNTB GNTC GOBC GSEBC LOPEN LSC LOBC LSEBC PWD-O EWS,48772,,1,2024
