college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
1002,"Government College of Engineering, Amravati (Government Autonomous)",,100237210,,Stage-I,GST LSEBC,2124,90.22,2,2024
1012,"Government College of Engineering,Yavatmal (Government)",,101261210,,Stage-I,GOPEN GSC GST GNTB GOBC GSEBC LOPEN LSC LNTC LNTD LOBC DEF-O EWS,29218,,2,2024
1012,"Government College of Engineering,Yavatmal (Government)",,101261210,,Stage-II,GOPEN GSC GST GNTB GOBC GSEBC LOPEN LSC LNTC LNTD LOBC DEF-O EWS,22440,76.26,2,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",,111424610,,Stage-I,GSC GNTD LOPEN LST LOBC,10858,82.75,2,2024
1116,"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",,111619110,,Stage-I,GOPEN GOBC LOPEN,34280,,2,2024
1116,"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",,111650710,,Stage-I,GOPEN GSC,45532,63.07,2,2024
1117,Janata Shikshan Prasarak Mandal (Un-Aided),,111799510,,Stage-I,GOPEN GSC GNTA LOPEN,39973,,2,2024
1117,Janata Shikshan Prasarak Mandal (Un-Aided),,111799510,,Stage-II,GOPEN GSC GNTA LOPEN,43178,65.31,2,2024
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",,112024210,,Stage-I,LOPEN MI-MH,20782,77.09,2,2024
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",,112029310,,Stage-I,GOPEN MI-MH,33939,70.67,2,2024
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",,112089310,,Stage-I,LOPEN MI MI-MH,36695,69.29,2,2024
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",,112124210,,Stage-I,GOPEN GSC LST LSEBC EWS,44365,,2,2024
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",,112124210,,Stage-II,GOPEN GSC LST LSEBC EWS,13982,80.84,2,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",,112519110,,Stage-I,GOPEN GSC GST GNTB GNTC GOBC LOPEN LSC LST LOBC PWD-O DEF-O EWS,30929,,2,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",,112529310,,Stage-I,GOPEN GOBC LOPEN LSC LST LSEBC,41452,,2,2024
1126,"Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",,112619110,,Stage-I,GOPEN GSC GST GNTA GNTB GNTC GOBC LOPEN LST LOBC PWD-O DEF-O,45673,,2,2024
1126,"Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",,112661210,,Stage-I,GST GSEBC LNTA LOBC EWS,47197,,2,2024
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",,112729310,,Stage-I,LOPEN LSEBC,35234,70.0,2,2024
1128,"Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",,112824210,,Stage-I,GOPEN GSC GST GOBC GSEBC LOPEN LOBC,12716,81.6,2,2024
1128,"Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",,112824610,,Stage-I,GOPEN GSC GST GNTA GOBC LOPEN LOBC LSEBC,16704,79.31,2,2024
1130,"Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",,113019110,,Stage-II,GSC LOPEN,47685,60.0,2,2024
1130,"Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",,113061210,,Stage-I,GOPEN GSC GST GNTB GNTD GOBC LSC LNTA LNTC LOBC,46156,,2,2024
1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",,118224210,,Stage-I,GOPEN GST GOBC GSEBC,26522,74.23,2,2024
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",,126561210,,Stage-I,GOPEN GSC GOBC LOPEN LOBC EWS,42807,,2,2024
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",,126561210,,Stage-II,GOPEN GSC GOBC LOPEN LOBC EWS,47026,60.92,2,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",,200824210,,Stage-I,GOPEN LST,24213,,2,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",,200837210,,Stage-I,LST LOBC,33828,,2,2024
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",,202060610,,Stage-I,GOPEN GST GOBC,17991,78.57,2,2024
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar (Un-Aided Religious Minority - Muslim)",,211129310,,Stage-I,GOPEN LOPEN MI MI-MH,37030,69.11,2,2024
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar (Un-Aided Religious Minority - Muslim)",,211161210,,Stage-I,GOPEN LOPEN MI MI-MH,44324,,2,2024
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar (Un-Aided Religious Minority - Muslim)",,211161210,,Stage-II,GOPEN LOPEN MI MI-MH,48806,54.51,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (Un-Aided)",,211224210,,Stage-I,GOPEN GST GOBC GSEBC LOPEN LSEBC EWS,17633,78.8,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (Un-Aided)",,211229310,,Stage-I,GOPEN GSC GST GOBC LOPEN LSC LOBC LSEBC EWS,22926,76.0,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (Un-Aided)",,211261210,,Stage-I,GOPEN GSC GST GNTB GNTC GNTD GOBC GSEBC LOPEN LSC LST LOBC LSEBC PWD-O DEF-O ORP EWS,34850,,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (Un-Aided)",,211291110,,Stage-I,GOPEN GST GSEBC,19390,77.81,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (Un-Aided)",,211291210,,Stage-I,GOPEN GSC GOBC LOPEN LST LSEBC EWS,22256,76.34,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (Un-Aided Autonomous)",,211301110,,Stage-I,GOPEN GSC,47005,60.97,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (Un-Aided Autonomous)",,211325710,,Stage-I,GOPEN LST,12872,81.49,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (Un-Aided Autonomous)",,211350110,,Stage-I,GOPEN LOPEN,39914,,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (Un-Aided Autonomous)",,211384410,,Stage-I,GOPEN GSC GNTC GSEBC LOPEN LST LOBC EWS,14352,80.63,2,2024
