college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
1002,"Government College of Engineering, Amravati (government Autonomous)",,100237210,,Stage-I,GSTLSEBC,2124,90.22,2,2024
1012,"Government College of Engineering,yavatmal (government)",,101261210,,Stage-I,GOPENGSCGSTGNTBGOBCGSEBCLOPENLSCLNTCLNTDLOBCDEFOEWS,29218,,2,2024
1012,"Government College of Engineering,yavatmal (government)",,101261210,,Stage-II,GOPENGSCGSTGNTBGOBCGSEBCLOPENLSCLNTCLNTDLOBCDEFOEWS,22440,76.26,2,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (un-aided)",,111424610,,Stage-I,GSCGNTDLOPENLSTLOBC,10858,82.75,2,2024
1116,"Shri Shivaji Education Societys College of Engineering and Technology, Akola (un-aided)",,111619110,,Stage-I,GOPENGOBCLOPEN,34280,,2,2024
1116,"Shri Shivaji Education Societys College of Engineering and Technology, Akola (un-aided)",,111650710,,Stage-I,GOPENGSC,45532,63.07,2,2024
1117,Janata Shikshan Prasarak Mandal (un-aided),,111799510,,Stage-I,GOPENGSCGNTALOPEN,39973,,2,2024
1117,Janata Shikshan Prasarak Mandal (un-aided),,111799510,,Stage-II,GOPENGSCGNTALOPEN,43178,65.31,2,2024
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (un-aided Linguistic Minority - Hindi)",,112024210,,Stage-I,LOPENMIMH,20782,77.09,2,2024
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (un-aided Linguistic Minority - Hindi)",,112029310,,Stage-I,GOPENMIMH,33939,70.67,2,2024
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (un-aided Linguistic Minority - Hindi)",,112089310,,Stage-I,LOPENMIMIMH,36695,69.29,2,2024
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (un-aided)",,112124210,,Stage-I,GOPENGSCLSTLSEBCEWS,44365,,2,2024
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (un-aided)",,112124210,,Stage-II,GOPENGSCLSTLSEBCEWS,13982,80.84,2,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (un-aided)",,112519110,,Stage-I,GOPENGSCGSTGNTBGNTCGOBCLOPENLSCLSTLOBCPWDODEFOEWS,30929,,2,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (un-aided)",,112529310,,Stage-I,GOPENGOBCLOPENLSCLSTLSEBC,41452,,2,2024
1126,"Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (un-aided)",,112619110,,Stage-I,GOPENGSCGSTGNTAGNTBGNTCGOBCLOPENLSTLOBCPWDODEFO,45673,,2,2024
1126,"Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (un-aided)",,112661210,,Stage-I,GSTGSEBCLNTALOBCEWS,47197,,2,2024
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (un-aided)",,112729310,,Stage-I,LOPENLSEBC,35234,70.0,2,2024
1128,"Prof Ram Meghe College of Engineering and Management, Badnera (un-aided)",,112824210,,Stage-I,GOPENGSCGSTGOBCGSEBCLOPENLOBC,12716,81.6,2,2024
1128,"Prof Ram Meghe College of Engineering and Management, Badnera (un-aided)",,112824610,,Stage-I,GOPENGSCGSTGNTAGOBCLOPENLOBCLSEBC,16704,79.31,2,2024
1130,"Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (un-aided)",,113019110,,Stage-II,GSCLOPEN,47685,60.0,2,2024
1130,"Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (un-aided)",,113061210,,Stage-I,GOPENGSCGSTGNTBGNTDGOBCLSCLNTALNTCLOBC,46156,,2,2024
1182,"Padmashri Dr. V.b. Kolte College of Engineering, Malkapur, Buldhana (un-aided)",,118224210,,Stage-I,GOPENGSTGOBCGSEBC,26522,74.23,2,2024
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (un-aided)",,126561210,,Stage-I,GOPENGSCGOBCLOPENLOBCEWS,42807,,2,2024
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (un-aided)",,126561210,,Stage-II,GOPENGSCGOBCLOPENLOBCEWS,47026,60.92,2,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar (government Autonomous)",,200824210,,Stage-I,GOPENLST,24213,,2,2024
2008,"Government College of Engineering, Chhatrapati Sambhajinagar (government Autonomous)",,200837210,,Stage-I,LSTLOBC,33828,,2,2024
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (government-aided Autonomous)",,202060610,,Stage-I,GOPENGSTGOBC,17991,78.57,2,2024
2111,"Everest Education Society, Group of Institutions (integrated Campus), Ohar (un-aided Religious Minority - Muslim)",,211129310,,Stage-I,GOPENLOPENMIMIMH,37030,69.11,2,2024
2111,"Everest Education Society, Group of Institutions (integrated Campus), Ohar (un-aided Religious Minority - Muslim)",,211161210,,Stage-I,GOPENLOPENMIMIMH,44324,,2,2024
2111,"Everest Education Society, Group of Institutions (integrated Campus), Ohar (un-aided Religious Minority - Muslim)",,211161210,,Stage-II,GOPENLOPENMIMIMH,48806,54.51,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (un-aided)",,211224210,,Stage-I,GOPENGSTGOBCGSEBCLOPENLSEBCEWS,17633,78.8,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (un-aided)",,211229310,,Stage-I,GOPENGSCGSTGOBCLOPENLSCLOBCLSEBCEWS,22926,76.0,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (un-aided)",,211261210,,Stage-I,GOPENGSCGSTGNTBGNTCGNTDGOBCGSEBCLOPENLSCLSTLOBCLSEBCPWDODEFOORPEWS,34850,,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (un-aided)",,211291110,,Stage-I,GOPENGSTGSEBC,19390,77.81,2,2024
2112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Chhatrapati Sambhajinagar (un-aided)",,211291210,,Stage-I,GOPENGSCGOBCLOPENLSTLSEBCEWS,22256,76.34,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (un-aided Autonomous)",,211301110,,Stage-I,GOPENGSC,47005,60.97,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (un-aided Autonomous)",,211325710,,Stage-I,GOPENLST,12872,81.49,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (un-aided Autonomous)",,211350110,,Stage-I,GOPENLOPEN,39914,,2,2024
2113,"G. S. Mandals Maharashtra Institute of Technology, Chhatrapati Sambhajinagar (un-aided Autonomous)",,211384410,,Stage-I,GOPENGSCGNTCGSEBCLOPENLSTLOBCEWS,14352,80.63,2,2024
2114,"Deogiri Institute of Engineering and Management Studies, Chhatrapati Sambhajinagar (un-aided)",,211419110,,Stage-I,GOPENGSTGNTAGNTCGNTDGOBCGSEBCLSEBCPWDOEWS,16831,79.26,2,2024
2114,"Deogiri Institute of Engineering and Management Studies, Chhatrapati Sambhajinagar (un-aided)",,211437210,,Stage-I,GOPENGSTLOPENLNTALNTCLOBC,22189,76.38,2,2024
