college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
2129,"M.s. Bidve Engineering College, Latur (un-aided)",,212929810,,Stage-I,GOPENGSCGNTBGNTDGOBCGSEBCLOPENLSCLNTALNTCLOBCLSEBCPWDOEWS,42998,,1,2024
2129,"M.s. Bidve Engineering College, Latur (un-aided)",,212961210,,Stage-I,GOPENLOPENEWS,44800,,1,2024
2130,"Terna Public Charitable Trusts College of Engineering, Dharashiv (un-aided)",,213037210,,Stage-I,GOPENLOPENLNTCEWS,39742,,1,2024
2134,"Peoples Education Societys College of Engineering, Chhatrapati Sambhajinagar (un-aided)",,213429310,,Stage-I,GOPENGSCGSTGNTBGOBCGSEBCLOPENLSCLNTCLOBCEWS,28804,,1,2024
2136,"Aditya Engineering College , Beed (un-aided)",,213619110,,Stage-I,GOPENGSCGSTGNTAGNTBGNTCGNTDGOBCGSEBCLOPENLSCLOBCPWDOEWS,35278,,1,2024
2136,"Aditya Engineering College , Beed (un-aided)",,213624210,,Stage-I,GOPENGSCGOBCGSEBCLOPENLNTALNTCEWS,29341,,1,2024
2136,"Aditya Engineering College , Beed (un-aided)",,213629310,,Stage-I,GOPENGSCGSTGNTBGNTDGOBCGSEBCLOPENLSCLNTALNTCLOBCLSEBCEWS,33694,,1,2024
2136,"Aditya Engineering College , Beed (un-aided)",,213637210,,Stage-I,GOPENGSCGNTAGOBCGSEBCLOPENLSCLNTDLOBCEWS,48418,,1,2024
2136,"Aditya Engineering College , Beed (un-aided)",,213692110,,Stage-I,GOPENLOPENEWS,46050,,1,2024
2137,"Nagnathappa Halge Engineering College, Parli, Beed (un-aided)",,213719110,,Stage-I,GOPENGSCGNTAGNTDGOBCLOPENEWS,39485,,1,2024
2138,"Matsyodari Shikshan Sansathas College of Engineering and Technology, Jalna (un-aided)",,213829310,,Stage-I,GOPENGSCGOBCLOPENLNTALNTCLOBCLSEBCEWS,41553,,1,2024
2138,"Matsyodari Shikshan Sansathas College of Engineering and Technology, Jalna (un-aided)",,213861210,,Stage-I,GOPENGSCGNTALOPENEWS,32088,,1,2024
2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad (un-aided)",,225019110,,Stage-I,GOPENGSCGSTGOBCGSEBCLOPENLSCLNTALNTCLNTDEWS,28819,,1,2024
2250,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad (un-aided)",,225029310,,Stage-I,GOPENGSCGSTGNTAGNTBGNTCGNTDGOBCGSEBCLOPENLSCLOBCLSEBCPWDOEWS,28214,,1,2024
2252,"Marathwada Shikshan Prasarak Mandals Shri Shivaji Institute of Engineering and Management Studies, Parbhani (un-aided)",,225219110,,Stage-I,GOPENGOBCLOPENEWS,43266,,1,2024
2252,"Marathwada Shikshan Prasarak Mandals Shri Shivaji Institute of Engineering and Management Studies, Parbhani (un-aided)",,225229710,,Stage-I,GOPENGSCLSTLOBC,39495,,1,2024
2252,"Marathwada Shikshan Prasarak Mandals Shri Shivaji Institute of Engineering and Management Studies, Parbhani (un-aided)",,225261210,,Stage-I,GOPENGSCGNTAGNTBLOPENEWS,40498,,1,2024
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur (un-aided)",,225424510,,Stage-I,GOPENGSCGOBCLOPENLSCLNTALNTCLOBCLSEBCEWS,30490,,1,2024
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur (un-aided)",,225429310,,Stage-I,GOPENGSCGNTBGNTCGOBCGSEBCLOPENLSCLOBCLSEBCPWDOEWS,48772,,1,2024
2254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur (un-aided)",,225461210,,Stage-I,GOPENLOPEN,48042,,1,2024
2282,"Aditya Education Trusts Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed (un-aided)",,228224610,,Stage-I,GOPENGNTBGNTDGOBCLOPENLNTAEWS,35004,,1,2024
2516,International Centre of Excellence in Engineering and Management (iceem) (un-aided),,251661210,,Stage-I,GOPENGOBCLOPEN,44499,,1,2024
2533,"Csmss Chh. Shahu College of Engineering, Chhatrapati Sambhajinagar (un-aided)",,253319110,,Stage-I,GOPENGSCGSTGNTBGOBCGSEBCLOPENLSCLNTALOBCLSEBC,41279,,1,2024
2533,"Csmss Chh. Shahu College of Engineering, Chhatrapati Sambhajinagar (un-aided)",,253361210,,Stage-I,GOPENGSCGNTAGNTBGNTCGNTDGOBCGSEBCLOPENLSCLOBCPWDO,31497,,1,2024
2641,Dr. V.k. Patil College of Engineering & Technology (un-aided),,264119110,,Stage-I,GOPENGSCGNTCGOBCLOPENEWS,27557,,1,2024
2641,Dr. V.k. Patil College of Engineering & Technology (un-aided),,264124210,,Stage-I,GOPENGSCGOBCLOPENPWDOEWS,39931,,1,2024
2641,Dr. V.k. Patil College of Engineering & Technology (un-aided),,264161210,,Stage-I,GOPENGNTBGOBCLOPEN,33725,,1,2024
3012,"Veermata Jijabai Technological Institute(vjti), Matunga, Mumbai (government-aided Autonomous)",,301261210,,Stage-I,GOPENGOBCGSEBCLOPENLSCLSTEWS,18662,,1,2024
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere (university Managed)",,303337290,,Stage-I,GOPENGSCGOBCGSEBCLOPENLSCLOBCEWS,34181,,1,2024
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere (university Managed)",,303352710,,Stage-I,GOPENGOBCLOPENEWS,47713,,1,2024
3042,"Government College of Engineering, Ratnagiri (government)",,304262410,,Stage-I,GOPENGSCGNTBGNTCGOBCGSEBCLOPENLSCLOBCLSEBCEWS,36991,,1,2024
3042,"Government College of Engineering, Ratnagiri (government)",,304291810,,Stage-I,GOPENGSCGSTGNTAGNTCGOBCGSEBCLOPENLSCLOBCLSEBC,35186,,1,2024
3146,"Jawahar Education Societys Annasaheb Chudaman Patil College of Engineering,kharghar, Navi Mumbai (un-aided)",,314637210,,Stage-I,GOPENGSCGNTCGOBCLOPENLOBCEWS,42425,,1,2024
3146,"Jawahar Education Societys Annasaheb Chudaman Patil College of Engineering,kharghar, Navi Mumbai (un-aided)",,314661210,,Stage-I,GOPENGNTBGNTCGOBCLOPENEWS,40404,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (un-aided)",,314719110,,Stage-I,GOPENGSCGOBCLOPEN,41086,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (un-aided)",,314724610,,Stage-I,GOPENGSCGNTBGNTCGOBCLOPENLSCLOBCLSEBC,43501,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (un-aided)",,314729310,,Stage-I,GOPENGSCGNTAGNTCGOBCLOPENLOBC,43581,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (un-aided)",,314761210,,Stage-I,GOPENGSTGOBCLOPEN,46249,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (un-aided)",,314791710,,Stage-I,GOPENGSCGOBCLOPENLOBC,41678,,1,2024
3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat (un-aided)",,314792110,,Stage-I,GOPENGOBCLOPENLOBC,38093,,1,2024
3148,"Mahavir Education Trusts Shah & Anchor Kutchhi Engineering College, Mumbai (un-aided Linguistic Minority - Gujarathi(jain))",,314892810,,Stage-I,GOPENLOPEN,27680,,1,2024
3154,"Saraswati Education Societys Saraswati College of Engineering,kharghar Navi Mumbai (un-aided)",,315460210,,Stage-I,GOPENLOPENEWS,48485,,1,2024
3175,"M.g.m.s College of Engineering and Technology, Kamothe, Navi Mumbai (un-aided)",,317524610,,Stage-I,GOPENGSCGNTAGNTBGOBCGSEBCLOPENLSCLNTCLNTDLOBCLSEBCEWS,13069,,1,2024
3175,"M.g.m.s College of Engineering and Technology, Kamothe, Navi Mumbai (un-aided)",,317550710,,Stage-I,GOPENGSCGOBCLOPEN,35351,,1,2024
3175,"M.g.m.s College of Engineering and Technology, Kamothe, Navi Mumbai (un-aided)",,317561210,,Stage-I,GOPENGSCGOBCLOPEN,47522,,1,2024
3175,"M.g.m.s College of Engineering and Technology, Kamothe, Navi Mumbai (un-aided)",,317591110,,Stage-I,GOPENGSCGNTBGNTCGNTDGOBCGSEBCLOPENLSCLNTALOBCLSEBCEWS,25117,,1,2024
